StationNbr,Name,City,RegionalOffice,County,ConnectDate,DisconnectDate,IsActive,IsEtoStation,Elevation,GroundCover,Lat,Long,ZipCodes,SitingDesc,ETo_Qc_fraction,Pr_Qc_fraction,Rs_Qc_fraction,Tmax_Qc_fraction,Tmin_Qc_fraction,Tdew_Qc_fraction,Perc_month_missing_ETo_10+,Siting_Criteria,Fetch_perc
243,Ryde,Walnut Grove,North Central Region Office,Sacramento,12/16/2015,12/31/2050,True,True,-10,Grass,38.249622,-121.555528,"['95690', '95680', '95615', '95641', '95686']",,0.9372549019607843,0.996078431372549,0.9790849673202614,0.9398692810457516,0.9281045751633987,0.8405228758169935,0.1442307692307692,GOOD,1.0
244,Biggs,Biggs,Northern Region Office,Butte,6/18/2015,12/31/2050,True,True,72,Grass,39.386632,-121.835278,"['95917', '95920', '95932', '95948', '95970']",,0.9517241379310345,0.8793103448275862,0.9482758620689655,0.8931034482758621,0.8758620689655172,0.674712643678161,0.2272727272727272,GOOD,1.0004938271604935
245,Coto de Caza,Coto de Caza,Southern Region Office,Orange,10/7/2015,12/31/2050,True,True,846,Grass,33.621667,-117.585278,"['92678', '92679', '92691', '92692', '92694']",,0.8941176470588236,0.9830065359477124,0.9084967320261438,0.8575163398692811,0.9738562091503268,0.8640522875816994,0.3490566037735849,GOOD,1.0
246,Markleeville,Markleeville,North Central Region Office,Alpine,6/13/2014,12/31/2050,True,True,5517,Grass,38.773409,-119.79193,"['96120', '96133']",,0.26144455747711093,0.9287894201424212,0.9837232960325534,0.9287894201424212,0.9074262461851476,0.884028484231943,,,
247,Jersey Island,Oakley,North Central Region Office,Contra Costa,7/1/2016,12/31/2050,True,True,-12,Grass,38.033386,-121.701247,"['95219', '94511', '94571', '94561', '94513']",,0.8835227272727273,0.9857954545454546,0.8991477272727273,0.9630681818181818,0.9034090909090909,0.5355113636363636,0.6185567010309279,GOOD,1.0
248,Holt,Stockton,North Central Region Office,San Joaquin,7/1/2016,12/31/2050,True,True,-3,Grass,37.932072,-121.396661,"['95206', '95234', '95203', '95219']",,0.9659090909090909,0.9857954545454546,0.9829545454545454,0.9460227272727273,0.9460227272727273,0.875,0.1546391752577319,GOOD,1.0008641975308643
249,Ripon,Manteca,North Central Region Office,San Joaquin,7/1/2016,12/31/2050,True,True,20,Grass,37.755597,-121.266153,"['95337', '95304', '95330', '95336']",,0.9318181818181819,0.9815340909090909,0.796875,0.8721590909090909,0.8991477272727273,0.8465909090909091,0.5051546391752577,GOOD,1.001111111111111
250,Williams,Williams,Northern Region Office,Colusa,8/9/2016,12/31/2050,True,True,69,Grass,39.210667,-122.168889,"['95987', '95955', '95932', '95912']",,0.9774436090225564,0.9729323308270676,0.8932330827067669,0.9593984962406015,0.9142857142857143,0.8406015037593985,0.3020833333333333,GOOD,1.000617283950617
251,Highland,Highland,Southern Region Office,San Bernardino,10/10/2016,12/31/2050,True,True,1275,Grass,34.112042,-117.1857,"['92346', '92374']",,0.8300653594771241,0.9983660130718954,0.9983660130718954,0.8022875816993464,0.9019607843137255,0.8055555555555556,0.1382978723404255,BAD,1.0
252,Soledad II,Soledad,South Central Region Office,Monterey,9/3/2016,12/31/2050,True,True,214,Grass,36.456728,-121.344388,"['93926', '93960']",,0.8985959438377535,0.9765990639625585,0.9453978159126365,0.8876755070202809,0.9266770670826833,0.8642745709828393,0.0947368421052631,GOOD,0.7318518518518519
253,Pescadero,Pescadero,North Central Region Office,San Mateo,8/24/2017,12/31/2050,True,True,47,Grass,37.255333,-122.3708,"['94060', '94074', '94019', '94062', '95017', '95060']",,0.8426294820717132,0.9760956175298805,0.9840637450199203,0.9083665338645418,0.898406374501992,0.9103585657370518,0.25,BAD,0.8396296296296296
254,Oakland Metro,Oakland,North Central Region Office,Alameda,3/12/2018,12/31/2050,True,True,14,Grass,37.718167,-122.197111,"['94577', '94579', '94603', '94621', '94502']",,0.9520697167755992,0.9433551198257081,0.7516339869281046,0.9520697167755992,0.9760348583877996,0.9106753812636166,0.1948051948051948,BAD,1.0
256,Lancaster,Lancaster,Southern Region Office,Los Angeles,7/26/2018,12/31/2050,True,True,2340,Alfalfa,34.759475,-117.991997,"['93523', '93524', '93535', '93560']",,0.868632707774799,0.9973190348525469,0.5924932975871313,0.6246648793565683,0.967828418230563,0.6568364611260054,0.547945205479452,BAD,1.0
258,Lemon Cove,Lemon Cove,South Central Region Office,Tulare,11/15/2018,12/31/2050,True,True,498,Grass,36.376917,-119.037972,"['93221', '93244', '93286']",,0.9967320261437909,0.9509803921568627,0.9052287581699346,0.9869281045751634,0.9640522875816994,0.9705882352941176,0.1304347826086956,BAD,0.587283950617284
259,Ferndale Plain,Ferndale,Northern Region Office,Humboldt,8/5/2019,12/30/2050,True,True,21,Grass,40.604467,-124.243186,"['95536', '95540', '95551']",,0.9904761904761905,0.9761904761904762,0.9809523809523809,0.9857142857142858,0.8857142857142857,0.9571428571428572,0.3,GOOD,1.0007407407407407
260,Montague,Montague,Northern Region Office,Siskiyou,9/20/2019,12/31/2050,True,True,2663,Grass,41.798331,-122.463425,"['96038', '96044', '96064', '96097']",,0.9695121951219512,0.060975609756097615,0.9390243902439024,0.9512195121951219,0.8170731707317074,0.04268292682926833,0.4067796610169492,BAD,1.0
261,Gazelle,Gazelle,Northern Region Office,Siskiyou,9/18/2019,12/31/2050,True,True,2743,Grass,41.533989,-122.532279,"['96034', '96038', '96064', '96094']",,0.9879518072289156,0.9939759036144579,0.9457831325301205,0.963855421686747,0.9337349397590361,0.8855421686746988,0.1694915254237288,GOOD,1.0
262,Linden,Linden,North Central Region Office,San Joaquin,2/26/2020,12/31/2050,True,True,111,Grass,38.065692,-121.071747,"['95240', '95236', '95227', '95237', '95252', '95212', '95215']",,0.9673202614379085,0.9934640522875817,0.9934640522875817,0.9281045751633987,0.9281045751633987,0.9281045751633987,0.0363636363636363,GOOD,1.0
263,Smith River,Crescent City,Northern Region Office,Del Norte,10/7/2020,12/31/2050,True,True,22,Grass,41.894592,-124.165043,"['95532', '95567']",,,,,,,,,GOOD,
264,Sierra Valley Center,Portola,Northern Region Office,Plumas,10/28/2020,12/31/2050,True,True,4898,Grass,39.777452,-120.273609,"['96106', '96118', '96122', '96129', '96135']",,,,,,,,0.2127659574468085,BAD,1.001111111111111
265,Paso Robles,Paso Robles,Southern Region Office,San Luis Obispo,3/1/2022,12/31/2050,True,True,764,Grass,35.692266,-120.64855,"['93426', '93446', '93447', '93451', '93465']",,0.9840848806366048,0.9946949602122016,0.9071618037135278,0.9628647214854112,0.9522546419098143,0.9071618037135278,0.1724137931034483,GOOD,1.0
266,Shandon,Shandon,Southern Region Office,San Luis Obispo,8/1/2022,12/31/2050,True,True,1105,Grass,35.643787,-120.403229,"['93461', '93432', '93447']",,0.96113074204947,0.9858657243816256,0.88339222614841,0.9434628975265018,0.92226148409894,0.8939929328621908,0.25,GOOD,1.0
267,Johnstonville,Johnstonville,Northern Region Office,Lassen,4/27/2022,12/31/2050,True,True,4112,Grass,40.364578,-120.559397,"['96114', '96128', '96127']",,0.9708222811671088,0.9389920424403184,0.9257294429708224,0.946949602122016,0.9522546419098143,0.8726790450928382,0.2142857142857142,GOOD,0.9639506172839506
268,Nubieber,Nubieber,Northern Region Office,Lassen,11/22/2023,12/31/2030,True,True,4122,Grass,41.1059,-121.1657,"['96068', '96009', '96056', '96054', '96006']",,1.0,0.971830985915493,0.943661971830986,0.971830985915493,0.971830985915493,0.9859154929577464,0.0,,
